"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"58.5","24739.2","4057.8","0","3572","32537.9","15146.1","1796107","87500152","86508335616"
"58.85","24731.7","4057.8","0","3572","32527.4","15146.5","1796201","87514179","86516281856"
"59.22","24703.5","4057.8","0","3572","32506.6","15146.5","1796271","87515316","86521602560"
"59.6","24745.7","4057.8","0","3572","32537.9","15148","1796557","87550577","86661851648"
"59.95","24712.6","4057.8","0","3572","32508.8","15142","1796604","87558742","86695234048"
"60.31","24716","4057.7","0","3572","32510.5","15135.4","1796654","87559615","86698805760"
"60.67","24744.1","4057.7","0","3572","32528.9","15137.6","1796684","87566681","86731557376"
"61.05","24747.8","4057.7","0","3572","32537.9","15135","1797007","87629937","87055051264"
"61.41","24742.3","4057.7","0","3572","32537.9","15136.6","1797347","87700587","87338060288"
"61.77","24743.7","4057.7","0","3572","32537.9","15136.6","1797692","87773523","87638919680"
"62.11","24752.3","4057.7","0","3572","32536.9","15137.1","1798046","87849797","87955500032"
"62.45","24755.1","4057.7","0","3572","32537.9","15134.9","1798264","87885628","88087597056"
"62.81","24758.3","4057.7","0","3572","32537.9","15136.8","1798639","87964200","88418848768"
"63.18","24750.7","4057.7","0","3572","32537.9","15136.5","1799026","88044828","88764825600"
"63.53","24751.4","4057.7","0","3572","32537.9","15138.1","1799414","88126211","89077211136"
"63.89","24748.8","4057.7","0","3572","32537.9","15138.9","1799785","88202943","89334071296"
"64.25","24750","4057.7","0","3572","32537.9","15138.6","1799951","88233314","89526374400"
"64.6","24745.8","4057.7","0","3572","32537.9","15139.5","1800339","88315976","89853415424"
"64.95","24745.1","4057.7","0","3568","32537.9","15138.9","1800775","88395308","90201542656"
"65.3","24746","4057.7","0","3568","32537.9","15139.9","1801163","88477486","90511839232"
"65.66","24743.2","4057.7","0","3564","32537.9","15140.1","1801538","88521716","90639631360"
"66.03","24691.4","4057.7","0","3564","32491.6","15137.1","1801541","88521740","90639631360"
"66.42","24747.9","4057.7","0","3564","32537.8","15136.4","1801782","88556686","90782770176"
"66.79","24741.2","4057.7","0","3564","32537.9","15137","1801795","88557732","90787054592"
"67.14","24711.3","4057.7","0","3564","32504.9","15133.6","1801854","88558820","90791580672"
"67.52","24749.8","4057.7","0","3564","32539.7","15134.9","1801945","88577714","90921329664"
"67.88","24746.7","4057.7","0","3564","32537.3","15136.4","1802056","88601804","90967548928"
"68.22","24717.9","4057.7","0","3564","32513.6","15129.3","1802108","88602675","90971108352"
"68.57","24738","4057.7","0","3564","32539.5","15130.1","1802137","88609740","91003270144"
"68.92","24731.3","4057.7","0","3564","32527.9","15129.1","1802443","88670120","91320730624"
"69.26","24742.3","4057.7","0","3564","32537.9","15124.9","1802774","88741232","91593032704"
"69.61","24738","4057.7","0","3564","32537","15125.3","1803109","88809993","91885229056"
"69.97","24752.4","4057.7","0","3564","32536.9","15122.2","1803491","88889607","92214506496"
"70.32","24752.7","4057.7","0","3564","32538.2","15121.8","1803725","88929505","92370593792"
"70.7","24753","4057.7","0","3564","32537.9","15120.7","1804120","89012627","92729894912"
"71.05","24751.5","4057.7","0","3564","32537.9","15121.5","1804537","89101095","93073520640"
"71.42","24749","4057.7","0","3564","32536.9","15121.4","1804909","89181964","93422352384"
"71.79","24746.7","4057.7","0","3564","32537.7","15123.7","1805254","89248198","93615511552"
"72.14","24754.5","4057.7","0","3564","32539.2","15122.5","1805469","89287294","93837596672"
"72.47","24746.9","4057.7","0","3564","32537.9","15122.7","1805816","89365431","94154041344"
"72.85","24744.5","4057.7","0","3564","32537.9","15123.7","1806208","89444984","94513375232"
"73.21","24745.6","4057.7","0","3564","32537.3","15121.4","1806606","89530400","94843381760"
"73.57","24744.9","4057.7","0","3564","32541","15122.6","1806948","89567937","94924942336"
"73.91","24696","4057.7","0","3564","32497.6","15123.4","1806952","89567969","94924975104"
"74.25","24744.2","4057.7","0","3564","32537.8","15121.6","1807214","89603148","95074311168"
"74.6","24726","4057.7","0","3564","32523.7","15122.7","1807289","89605377","95078222848"
"74.94","24687.6","4057.7","0","3564","32490.5","15122.2","1807320","89605548","95083060224"
"75.28","24745.3","4057.7","0","3564","32537.9","15123.2","1807470","89640151","95229406208"
"75.63","24741.9","4057.7","0","3564","32538.8","15122.4","1807517","89648310","95253986304"
"75.97","24705","4057.7","0","3564","32509","15123.2","1807527","89649174","95257525248"
"76.31","24735.3","4057.7","0","3564","32531.8","15124.1","1807569","89657015","95317965824"
"76.66","24740.3","4057.7","0","3564","32537.9","15122.2","1807850","89719467","95613578240"
"77.03","24706.1","4057.7","0","3571","32539.1","15166.7","1808186","89794220","95919683584"
"77.39","24705.7","4057.7","0","3571","32537.9","15168.4","1808551","89873039","96233097216"
"77.75","24711.9","4057.7","0","3571","32536.9","15159.2","1808888","89949047","96550770688"
"78.11","24718.9","4057.7","0","3571","32537.6","15160.8","1809137","89992300","96683171840"
"78.47","24729.5","4057.7","0","3571","32537.9","15152.9","1812904","90040730","96923095040"
"78.82","24725.2","4057.7","0","3571","32536.9","15154.4","1813230","90115219","97235560960"
"79.17","24693.8","4057.7","0","3575","32536.9","15279.8","1814131","90189685","97537212416"
"79.53","24688.7","4057.7","0","3575","32536.9","15286","1814488","90263753","97845932544"
"79.87","24663.7","4057.7","0","3575","32537.8","15235.4","1815361","90332894","98060594176"
"80.23","24708.6","4057.7","0","3576","32537.9","15174.1","1815789","90365911","98264947712"
"80.6","24708.8","4057.7","0","3576","32536.9","15166.5","1816144","90446527","98592005120"
"80.94","24712.1","4057.7","0","3576","32536.9","15166.8","1816471","90518692","98890861568"
"81.3","24711.2","4057.7","0","3576","32537.9","15165.6","1816832","90598061","99209542656"
"81.66","24704.2","4057.7","0","3576","32537.7","15163.4","1817198","90669441","99440070656"
"82.02","24687.6","4057.7","0","3572","32522.2","15171","1817388","90670596","99440574464"
"82.38","24705.9","4057.7","0","3572","32537.2","15162.8","1817519","90689589","99560517632"
"82.74","24703.6","4057.7","0","3572","32537.9","15160.9","1817647","90706611","99588140544"
"83.08","24701.5","4057.7","0","3572","32536.3","15162.6","1817689","90707597","99592703488"
"83.42","24655.9","4057.7","0","3572","32490.4","15164.2","1817748","90713400","99660668416"
"83.78","24710.7","4057.7","0","3572","32537.9","15165.1","1817922","90748586","99764182528"
"84.16","24700.7","4057.7","0","3572","32537.7","15161.8","1817936","90750737","99772370432"
"84.5","24654.9","4057.7","0","3572","32491.7","15163.9","1817993","90751609","99772370432"
"84.85","24685.2","4057.7","0","3572","32520.6","15162.4","1818034","90759448","99823386112"
"85.18","24711.2","4057.7","0","3572","32537.7","15157.3","1818299","90820120","100113776128"
"85.53","24710.8","4057.7","0","3574","32536.9","15160.2","1818665","90895813","100428032512"
"85.89","24706.9","4057.7","0","3561","32537.9","15164.3","1819020","90970802","100738324992"
"86.25","24708.9","4057.7","0","3561","32537.9","15162.2","1819390","91048856","101068519936"
"86.61","24711.2","4057.7","0","3561","32537.9","15162.8","1819618","91088514","101220478464"
"86.97","24708.6","4057.7","0","3561","32537.9","15164.8","1819977","91166068","101536033792"
"87.34","24692.1","4057.7","0","3561","32528.6","15166.4","1820400","91250284","101885131776"
"87.69","24703.2","4057.7","0","3561","32540","15164.2","1820769","91322963","102178630656"
"88.04","24703.1","4057.7","0","3561","32537","15161.6","1821144","91391553","102408309760"
"88.39","24677.9","4057.7","0","3561","32533.5","15162","1821275","91408821","102532418560"
"88.76","24706.3","4057.7","0","3561","32537.2","15132.9","1821623","91486116","102865779712"
"89.12","24685.7","4057.7","0","3561","32541.6","15142.7","1821851","91536388","102986783744"
"89.47","24645.5","4057.7","0","3561","32494.7","15142","1821894","91538443","102996246528"
"89.83","24647.7","4057.7","0","3561","32503.5","15141","1821895","91538699","102997295104"
"90.19","24648.1","4057.7","0","3561","32501.1","15139.1","1821896","91538955","102997295104"
"90.57","24678.5","4057.7","0","3560","32524.4","15138.8","1821960","91547092","103030622208"
"90.95","24667.8","4057.7","0","3560","32522.4","15140.8","1821989","91547512","103032342528"
"91.31","24667","4057.7","0","3560","32521","15140","1821996","91547820","103033604096"
"91.66","24633.6","4057.7","0","3559","32482.4","15134.1","1821996","91547820","103033604096"
